Noel
Operated by US
latitude -79.33 longitude -111.08 height 1833m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

2000 03 03 21 00   772.3   -27.1    21.1    46                                  
2000 03 04 00 00   771.7   -28.4    18.7    52                                  
2000 03 04 03 00   770.9   -29.0    27.1    35                                  
2000 03 04 06 00   771.1   -32.4    11.7    43                                  
2000 03 04 09 00   770.9   -35.9     9.4    56                                  
2000 03 04 12 00   771.4   -34.1     6.8    47                                  
2000 03 04 15 00   772.8   -35.5     3.5   278                                  
2000 03 04 18 00   774.5   -36.5     5.8   262                                  
2000 03 04 21 00   776.1   -35.8     7.8   248                                  
2000 03 05 00 00   777.7   -34.6     3.5   265                                  
2000 03 05 03 00   778.4   -35.2     7.4   271                                  
2000 03 05 06 00   779.1   -39.2     6.4   268                                  
2000 03 05 09 00   779.8   -39.5     5.8   268                                  
2000 03 05 12 00   780.9   -40.5     4.9   257                                  
2000 03 05 15 00   781.6   -39.2     5.8   250                                  
2000 03 05 18 00   782.2   -36.5     8.4   232                                  
2000 03 05 21 00   783.1   -34.6     7.4   233                                  
2000 03 06 00 00   783.7   -33.8     4.5   217                                  
2000 03 06 03 00   783.7   -31.5     3.9   188                                  
2000 03 06 06 00   784.2   -28.4     7.4   172                                  
2000 03 06 09 00   784.0   -29.6     2.0   101                                  
2000 03 06 12 00   784.0   -28.8     5.5    67                                  
2000 03 06 15 00   783.8   -28.0     2.0    28                                  
2000 03 06 18 00   783.5   -27.0     4.9    59                                  
2000 03 06 21 00   782.9   -26.6     5.8    57                                  
2000 03 07 00 00   782.3   -27.9     3.9    40                                  
2000 03 07 03 00   781.3   -33.4     3.5    35                                  
2000 03 07 06 00   780.9   -33.2    10.3    26                                  
2000 03 07 09 00   780.7   -34.1     9.4    23                                  
2000 03 07 12 00   780.7   -37.1     9.8    26                                  
2000 03 07 15 00   781.1   -31.9     9.4    18                                  
2000 03 07 18 00   781.5   -29.6     8.4    43                                  
2000 03 07 21 00   781.5   -28.1     7.4    40                                  
2000 03 08 00 00   781.4   -29.1    11.7    30                                  
2000 03 08 03 00   781.0   -30.5    12.9    52                                  
2000 03 08 06 00   781.3   -28.5    15.8    28                                  
2000 03 08 09 00   781.5   -26.2    17.7    28                                  
2000 03 08 12 00   781.6   -26.2    12.9    22                                  
2000 03 08 15 00   781.6   -29.6    15.8    45                                  
2000 03 08 18 00   781.8   -27.5    17.2    32                                  
2000 03 08 21 00   781.5   -24.2    12.9    39                                  
2000 03 09 00 00   781.0   -23.4    13.8    43                                  
2000 03 09 03 00   780.7   -23.4     7.8    43                                  
2000 03 09 06 00   780.3   -23.6     9.8    39                                  
2000 03 09 09 00   779.9   -24.0     5.8    30                                  
2000 03 09 12 00   779.9   -24.1     4.5    45                                  
2000 03 09 15 00   779.7   -23.1     2.0    50                                  
2000 03 09 18 00   779.6   -22.0     4.5    47                                  
2000 03 09 21 00   779.4   -21.2     3.5    22                                  
2000 03 10 00 00   779.5   -23.2     2.5    42                                  
2000 03 10 03 00   779.3   -26.1     3.9    22                                  
2000 03 10 06 00   779.2   -28.5     0.0     0                                  
2000 03 10 09 00   778.9   -28.0     0.0     0                                  
2000 03 10 12 00   778.4   -27.6     0.0     0                                  
2000 03 10 15 00   777.9   -29.6     0.0     0                                  
2000 03 10 18 00   777.0   -25.1     0.0     0                                  
2000 03 10 21 00   775.9   -21.2     7.8    26                                  
2000 03 11 00 00   775.1   -21.9    11.7    16                                  
2000 03 11 03 00   773.8   -22.8     8.8    19                                  
2000 03 11 06 00   773.5   -21.9    13.3    22                                  
2000 03 11 09 00   773.3   -24.2    11.7    25                                  
2000 03 11 12 00   773.4   -27.9     5.5    49                                  
2000 03 11 15 00   774.1   -31.6     8.8    53                                  
2000 03 11 18 00   774.9   -22.4     7.8    35                                  
2000 03 11 21 00   775.3   -28.2    12.9    45                                  
2000 03 12 00 00   776.0   -27.6    14.2    45                                  
2000 03 12 03 00   776.6   -28.4    11.7    52                                  
2000 03 12 06 00   776.5   -30.4    18.1    39                                  
2000 03 12 09 00   776.5   -25.9    22.0    40                                  
2000 03 12 12 00   776.7   -28.0    19.1    54                                  
2000 03 12 15 00   777.0   -24.9    20.7    50                                  
2000 03 12 18 00   777.3   -23.8    31.0    42                                  
2000 03 12 21 00   777.4   -22.5    29.1    33                                  
2000 03 13 00 00   778.0   -22.0    24.6    40                                  
2000 03 13 03 00   778.5   -24.6    22.0    45                                  
2000 03 13 06 00   779.0   -24.1    22.6    22                                  
2000 03 13 09 00   779.6   -22.2    25.2    35                                  
2000 03 13 12 00   780.6   -22.4    20.7    28                                  
2000 03 13 15 00   781.1   -22.6    21.6    26                                  
2000 03 13 18 00   781.9   -22.4    21.6    35                                  
2000 03 13 21 00   782.4   -21.9    24.6    39                                  
2000 03 14 00 00   782.9   -21.1    30.4    32                                  
2000 03 14 03 00   783.5   -21.6    24.0    42                                  
2000 03 14 06 00   784.2   -20.2    27.1    36                                  
2000 03 14 09 00   785.1   -19.9    25.2    35                                  
2000 03 14 12 00   786.0   -18.5    21.6    39                                  
2000 03 14 15 00   787.0   -14.4    39.4     7                                  
2000 03 14 18 00   788.6   -14.5    38.4    15                                  
2000 03 14 21 00   789.3   -15.1    28.1    18                                  
2000 03 15 00 00   788.7   -15.9    24.0    33                                  
2000 03 15 03 00   785.3   -15.4    38.8    40                                  
2000 03 15 06 00   783.7   -15.4    33.0    26                                  
2000 03 15 09 00   784.0   -14.8    34.3    16                                  
2000 03 15 12 00   784.3   -14.4    34.9    19                                  
2000 03 15 15 00   784.6   -14.9    32.4    26                                  
2000 03 15 18 00   784.8   -15.1    30.4    32                                  
2000 03 15 21 00   784.0   -15.4    35.3    35                                  
2000 03 16 00 00   782.7   -15.6    45.6    36                                  
2000 03 16 03 00   782.1   -16.1    46.2    37                                  
2000 03 16 06 00   782.4   -16.5    34.3    42                                  
2000 03 16 09 00   782.8   -17.1    33.9    45                                  
2000 03 16 12 00   781.1   -16.9    36.3    61                                  
2000 03 16 15 00   779.9   -16.9    37.8    43                                  
2000 03 16 18 00   778.9   -16.1    43.3    43                                  
2000 03 16 21 00   779.2   -17.1    50.1    39                                  
2000 03 17 00 00   780.0   -16.8    38.4    37                                  
