Buckle Island
Operated by US
latitude -66.87 longitude 163.24 height 520m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1987 03 19 00 00   920.6    -2.4    24.6    34                                  
1987 03 19 03 00   912.7    -1.1     0.0     0                                  
1987 03 19 06 00   904.5    -0.5    34.1   302                                  
1987 03 19 09 00   902.1    -1.0    28.5   291                                  
1987 03 19 12 00   905.2    -2.5    30.4   269                                  
1987 03 19 15 00   915.1    -4.7    27.9   246                                  
1987 03 19 18 00   920.7    -5.5    24.0   266                                  
1987 03 19 21 00   922.3    -4.6    25.0   281                                  
1987 03 20 00 00   923.8    -5.2    37.0   274                                  
1987 03 20 03 00   927.6    -3.4    25.0   273                                  
1987 03 20 06 00   930.2    -3.8    25.0   284                                  
1987 03 20 09 00   933.7    -3.2    20.3   287                                  
1987 03 20 12 00   935.9    -2.4    20.7   294                                  
1987 03 20 15 00   936.2    -2.5    17.4   312                                  
1987 03 20 18 00   936.0    -1.9    16.0   349                                  
1987 03 20 21 00   934.2    -2.0    24.6    16                                  
1987 03 21 00 00   929.5    -2.1    28.5    34                                  
1987 03 21 03 00   922.8    -2.9    26.9    70                                  
1987 03 21 06 00   908.5    -3.0    21.3    77                                  
1987 03 21 09 00   905.3    -2.0    43.3   308                                  
1987 03 21 12 00   909.5    -2.4    31.4   312                                  
1987 03 21 15 00   912.5    -2.9    31.8   307                                  
1987 03 21 18 00   915.7    -3.0    25.9   305                                  
1987 03 21 21 00   918.9    -2.5     9.6     7                                  
1987 03 22 03 00   918.5    -1.9    18.7    41                                  
1987 03 22 06 00   916.8    -1.6    20.3    48                                  
1987 03 22 09 00   915.5    -2.0    26.9    66                                  
1987 03 22 12 00   914.4    -2.4    14.0    84                                  
1987 03 22 15 00   912.4    -4.1    10.5    52                                  
1987 03 22 18 00   913.2    -5.2    11.5   214                                  
1987 03 22 21 00   914.1    -5.7    13.1    16                                  
1987 03 23 00 00   916.4    -5.2     7.8   131                                  
1987 03 23 03 00   918.9    -6.5    12.1   108                                  
1987 03 23 06 00   920.7    -6.7     7.8    98                                  
1987 03 23 09 00   923.1    -7.2     8.6   120                                  
1987 03 23 12 00   924.5    -7.1     6.8    70                                  
1987 03 23 15 00   925.4    -7.4     5.3    45                                  
1987 03 23 18 00   926.2    -7.4    13.5    52                                  
1987 03 23 21 00   927.5    -7.6     8.6    75                                  
1987 03 24 00 00   928.5    -7.6    15.4    61                                  
1987 03 24 03 00   929.3    -7.4     5.8    28                                  
1987 03 24 06 00   930.2    -8.2     2.0    76                                  
1987 03 24 09 00   931.5    -8.4     5.8    38                                  
1987 03 24 12 00   932.2    -8.4     5.3    44                                  
1987 03 24 15 00   932.8    -8.8     1.0    73                                  
1987 03 24 18 00   933.0    -8.4     9.2    48                                  
1987 03 24 21 00   933.1    -7.9     8.2   100                                  
1987 03 25 00 00   933.6    -7.6    17.4    53                                  
1987 03 25 03 00   933.5    -7.9    10.1    76                                  
1987 03 25 06 00   932.2    -7.4    16.8    72                                  
1987 03 25 09 00   932.1    -7.4     9.6    65                                  
1987 03 25 12 00   931.2    -7.6    10.1    62                                  
1987 03 25 15 00   929.8    -7.6    20.3    70                                  
1987 03 25 18 00   929.1    -8.1    18.3    77                                  
1987 03 25 21 00   928.7    -8.0    10.1    87                                  
1987 03 26 00 00   927.7    -7.9    11.1   115                                  
