Mt Erebus
Operated by US
latitude -77.53 longitude 167.13 height 3700m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1990 01 11 00 00   602.0   -24.9     2.0   220                                  
1990 01 11 03 00   602.3   -24.0     0.0     0                                  
1990 01 11 06 00   602.9   -24.5     7.4   216                                  
1990 01 11 09 00   603.7   -22.5     8.4   177                                  
1990 01 11 12 00   604.1   -21.5     7.0   244                                  
1990 01 11 15 00   604.2   -18.0     0.0     0                                  
1990 01 11 18 00   604.4   -17.9     4.9   310                                  
1990 01 11 21 00   604.7   -15.6     2.0    22                                  
1990 01 12 00 00   604.8   -22.5     6.4   333                                  
1990 01 12 03 00   605.1   -20.6     2.0   144                                  
1990 01 12 06 00   605.2   -20.1     0.0     0                                  
1990 01 12 09 00   605.1   -22.9    13.5   312                                  
1990 01 12 12 00   605.3   -24.3    13.5   303                                  
1990 01 12 15 00   604.8   -23.8     7.4   253                                  
1990 01 12 18 00   605.0   -25.0    13.8   299                                  
1990 01 12 21 00   605.4   -24.9    15.4   324                                  
1990 01 13 00 00   605.4   -25.4    20.3   317                                  
1990 01 13 03 00   605.5   -24.8     4.9   357                                  
1990 01 13 06 00   606.4   -24.3     0.0     0                                  
1990 01 13 09 00   607.0   -25.1     5.5   291                                  
1990 01 13 12 00   606.5   -25.6    23.2   310                                  
1990 01 13 15 00   606.4   -25.5    19.9   292                                  
1990 01 13 18 00   606.9   -24.3     0.6    60                                  
1990 01 13 21 00   606.9   -25.4    21.8   303                                  
1990 01 14 00 00   607.5   -25.9     0.0     0                                  
1990 01 14 03 00   607.2   -25.8    25.4   306                                  
1990 01 14 06 00   608.5   -23.5    19.9   292                                  
1990 01 14 09 00   609.4   -23.3     3.5   285                                  
1990 01 14 12 00   609.4   -22.5     0.0     0                                  
1990 01 14 15 00   608.9   -21.8     0.0     0                                  
1990 01 14 18 00   608.5   -21.0     0.6   132                                  
1990 01 14 21 00   608.5   -18.3     0.6   350                                  
1990 01 15 00 00   608.3   -22.1     3.9   225                                  
1990 01 15 03 00   608.3   -21.1     1.0   257                                  
1990 01 15 06 00   608.4   -21.1     3.9   219                                  
1990 01 15 09 00   608.6   -22.1     4.9   210                                  
1990 01 15 12 00   608.7   -22.5     6.4   216                                  
1990 01 15 15 00   608.6   -21.6     4.9   194                                  
1990 01 15 18 00   609.1   -21.3     8.4   185                                  
1990 01 15 21 00   609.5   -20.0     5.8   195                                  
1990 01 16 00 00   610.3   -21.1     9.9   236                                  
1990 01 16 03 00   610.7   -20.6     9.4   220                                  
1990 01 16 06 00   611.4   -21.4    10.3   201                                  
1990 01 16 09 00   611.8   -22.4    11.3   213                                  
1990 01 16 12 00   611.4   -21.3     7.0   239                                  
1990 01 16 15 00   611.1   -21.3    10.3   254                                  
1990 01 16 18 00   611.0   -20.9    13.5   312                                  
1990 01 16 21 00   610.8   -18.5    11.3   278                                  
1990 01 17 03 00   609.5   -22.3    27.3   286                                  
1990 01 17 06 00   609.8   -22.1    26.7   275                                  
1990 01 17 09 00   609.4   -23.3    17.4   258                                  
1990 01 17 12 00   609.3   -24.5    11.9   302                                  
1990 01 17 15 00   609.4   -21.3     5.8   255                                  
1990 01 17 18 00   609.2   -21.1     6.4   268                                  
1990 01 17 21 00   609.1   -18.5     0.6   275                                  
1990 01 18 00 00   608.8   -19.6     2.9   329                                  
1990 01 18 03 00   608.4   -18.5     1.0   322                                  
1990 01 18 06 00   608.0   -19.6     0.0     0                                  
1990 01 18 09 00   607.8   -20.5     0.0     0                                  
1990 01 18 12 00   607.7   -21.8     1.6   223                                  
1990 01 18 15 00   607.8   -22.1     2.0   226                                  
1990 01 18 18 00   607.9   -23.9     4.9    95                                  
