Nancy
Operated by US
latitude -77.91 longitude 168.17 height 25m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1983 01 17 00 00   994.8 -999       11.7   180                                  
1983 02 10 12 00  1012.7   -13.4     6.2   295                                  
1983 02 10 15 00  1010.0   -11.4     8.0   270                                  
1983 02 10 18 00  1007.3    -6.4     9.4   270                                  
1983 02 10 21 00  1004.9    -8.9     4.5   360                                  
1983 02 11 00 00  1003.3    -8.8     3.1   105                                  
1983 02 11 03 00  1001.2    -8.8     3.5   138                                  
1983 02 11 06 00   999.2   -10.4     2.1   360                                  
1983 02 11 09 00   996.9   -12.4     3.5    45                                  
1983 02 11 12 00   995.3   -14.4     4.5   134                                  
1983 02 11 15 00   992.4   -18.6     0.4     0                                  
1983 02 11 18 00   991.2   -19.6     4.9   141                                  
1983 02 11 21 00   990.4   -14.9     2.1   161                                  
1983 02 12 00 00   989.6   -11.4     0.0     0                                  
1983 02 12 03 00   989.1   -10.4     2.1    15                                  
1983 02 12 06 00   989.5   -13.1     4.9    90                                  
1983 02 12 09 00   990.8   -16.3     2.7   111                                  
1983 02 12 12 00   992.4   -19.3     0.0     0                                  
1983 02 12 15 00   993.6   -18.9     1.4   352                                  
1983 02 12 18 00   994.7   -18.4     6.8    97                                  
1983 02 12 21 00   996.5   -18.5     5.8    90                                  
1983 02 13 00 00   997.1   -16.0     5.8   101                                  
1983 02 13 03 00   997.9   -13.8     4.1   132                                  
1983 02 13 06 00   999.6   -13.3     2.1    97                                  
1983 02 13 09 00  1000.9   -12.6     5.8   161                                  
1983 02 13 12 00  1002.8   -13.9     4.9   360                                  
1983 02 13 15 00  1003.5   -16.0     2.1   315                                  
1983 02 13 18 00  1004.2   -17.1     3.5   270                                  
1983 02 13 21 00  1004.6   -13.5     0.4     0                                  
1983 02 14 00 00  1004.9   -12.1     1.8    12                                  
1983 02 14 03 00  1004.5   -13.5     5.8    45                                  
1983 02 14 06 00  1003.9   -17.1     3.1    41                                  
1983 02 14 09 00  1003.2   -17.5     5.8    76                                  
1983 02 14 12 00  1002.7   -15.0     2.1   141                                  
1983 02 14 15 00  1002.1   -12.8     8.6    45                                  
1983 02 14 18 00  1001.3   -11.9     7.6    45                                  
1983 02 14 21 00  1000.2   -10.0     9.9    90                                  
1983 02 15 00 00   999.9   -10.0     5.5   225                                  
1983 02 15 03 00   999.8   -11.3    15.6   180                                  
1983 02 15 06 00   999.6   -12.8    15.6   180                                  
1983 02 15 09 00   999.4   -12.9    15.6   180                                  
1983 02 15 12 00   999.3   -13.5    17.0   189                                  
1983 02 15 15 00   998.7   -13.5    17.0   189                                  
1983 02 15 18 00   998.7   -13.3    16.6   180                                  
1983 02 15 21 00   998.8   -12.4    17.0   180                                  
1983 02 16 00 00   999.6   -13.0    13.8   180                                  
1983 02 16 03 00   999.1   -11.6    11.1   180                                  
1983 02 16 06 00   998.8   -12.8     4.5   180                                  
1983 02 16 09 00   998.4   -13.9     3.1   360                                  
1983 02 16 12 00   998.2   -19.8     0.4     0                                  
1983 02 16 15 00   997.8   -21.9     2.1   360                                  
1983 02 16 18 00   998.4   -24.5     2.7    97                                  
1983 02 16 21 00   998.5   -20.9     0.4     0                                  
1983 02 17 00 00   998.9   -18.0     5.8   115                                  
1983 02 17 03 00   998.7   -14.4     6.2   141                                  
1983 02 17 06 00   998.3   -14.8     1.4   139                                  
1983 02 17 09 00   998.0   -14.8     8.6   174                                  
1983 02 17 12 00   998.0   -15.3     4.5   180                                  
1983 02 17 15 00   997.2   -16.1     7.6   180                                  
1983 02 17 18 00   996.3   -16.0     0.0     0                                  
1983 02 17 21 00   995.2   -15.0     0.0     0                                  
1983 02 18 00 00   994.4   -15.1     1.4   324                                  
1983 02 18 03 00   993.7   -14.0     1.8   360                                  
1983 02 18 06 00   994.0   -11.3     2.1    54                                  
1983 02 18 09 00   994.0   -16.5     6.2   131                                  
1983 02 18 12 00   994.1   -17.4     1.4    52                                  
1983 02 18 15 00   993.2   -19.8     3.5   141                                  
1983 02 18 18 00   992.2   -24.6     4.1   111                                  
1983 02 18 21 00   991.2   -23.4     7.6   149                                  
1983 02 19 00 00   990.8   -20.6     7.6   148                                  
1983 02 19 03 00   990.0   -19.3    10.3   159                                  
1983 02 19 06 00   989.7   -17.6    12.1   180                                  
1983 02 19 09 00   989.9   -16.0    15.6   180                                  
1983 02 19 12 00   990.8   -16.9    12.5   180                                  
1983 02 19 15 00   991.0   -17.4     9.9   176                                  
1983 02 19 18 00   991.5   -17.3     7.2   180                                  
1983 02 19 21 00   991.8   -18.1     7.2   180                                  
1983 02 20 00 00   992.6   -17.5     8.0   180                                  
1983 02 20 03 00   992.6   -16.4     0.0     0                                  
1983 02 20 06 00   992.4   -16.9     0.0     0                                  
1983 02 20 09 00   992.7   -18.4     0.0     0                                  
1983 02 20 12 00   993.2   -19.0     0.0     0                                  
1983 02 20 15 00   993.3   -19.5     0.0     0                                  
1983 02 20 18 00   993.9   -20.1     1.4   166                                  
1983 02 20 21 00   994.9   -23.1     2.1   135                                  
1983 02 21 00 00   995.8   -22.3     2.1   120                                  
1983 02 21 03 00   996.3   -20.8     2.1    39                                  
1983 02 21 06 00   996.2   -23.6     1.8   117                                  
1983 02 21 09 00   996.4   -27.1     3.1    12                                  
1983 02 21 12 00   995.7   -28.0     1.4   315                                  
1983 02 21 15 00   995.3   -26.6     2.7    90                                  
1983 02 21 18 00   995.4   -26.6     0.0     0                                  
1983 02 21 21 00   995.4   -25.5     1.4    37                                  
1983 02 22 00 00   996.0   -19.3     2.7   161                                  
1983 02 22 03 00   995.9   -21.0     1.4    90                                  
1983 02 22 06 00   995.3   -22.5     1.8    79                                  
1983 02 22 09 00   995.2   -25.0     1.0     0                                  
1983 02 22 12 00   995.0   -26.3     0.0     0                                  
1983 02 22 15 00   994.3   -31.5     1.4    69                                  
1983 02 22 18 00   993.9   -31.6     1.8   120                                  
1983 02 22 21 00   993.7   -27.5     1.8   101                                  
1983 02 23 00 00   993.0   -21.5     1.8   122                                  
1983 02 23 03 00   992.2   -20.9     4.5   141                                  
1983 02 23 06 00   991.6   -22.3     4.5   141                                  
