Dolleman Island
Operated by US
latitude -70.58 longitude -60.92 height 396m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the University of Wisconsin

1986 04 07 09 00   932.0   -12.7    11.7   165                                  
1986 04 07 12 00   931.3   -14.5    24.0   161                                  
1986 04 07 15 00   931.1   -13.6    22.0   158                                  
1986 04 07 18 00   930.6   -16.2    32.4   158                                  
1986 04 07 21 00   930.8   -17.4    30.0   161                                  
1986 04 08 00 00   930.7   -18.9    37.4   163                                  
1986 04 08 03 00   931.5   -19.2    40.4   170                                  
1986 04 08 06 00   932.6   -19.5    35.3   167                                  
1986 04 08 09 00   934.4   -20.4    33.0   168                                  
1986 04 08 12 00   935.1   -19.9    42.3   168                                  
1986 04 08 15 00   935.6   -19.1    31.0   164                                  
1986 04 08 18 00   934.5   -21.1    37.8   151                                  
1986 04 08 21 00   933.5   -22.4    46.6   154                                  
1986 04 09 00 00   936.2   -25.1    30.4   154                                  
1986 04 09 03 00   935.3   -25.6    30.0   167                                  
1986 04 09 06 00   935.7   -25.7    31.4   168                                  
1986 04 09 09 00   936.6   -28.1    31.0   175                                  
1986 04 09 12 00   936.2   -26.4    33.3   167                                  
1986 04 09 15 00   937.3   -26.1    24.6   167                                  
1986 04 09 18 00   936.5   -26.1    31.4   165                                  
1986 04 09 21 00   935.5   -24.2    41.7   165                                  
1986 04 10 00 00   937.4   -27.0    26.5   151                                  
1986 04 10 03 00   938.3   -25.7    26.1   168                                  
1986 04 10 06 00   939.0   -26.4    23.6   161                                  
1986 04 10 09 00   939.8   -25.7    24.6   160                                  
1986 04 10 12 00   940.6   -26.4    23.6   163                                  
1986 04 10 15 00   941.2   -24.9    18.7   172                                  
1986 04 10 18 00   941.6   -25.2    15.8   165                                  
1986 04 10 21 00   942.7   -25.6    10.7   160                                  
1986 04 11 00 00   943.6   -23.7     6.8   142                                  
1986 04 11 03 00   943.7   -22.5     9.8   130                                  
1986 04 11 06 00   944.4   -23.1     6.4   188                                  
1986 04 11 09 00   945.2   -23.1     2.5   188                                  
1986 04 11 12 00   945.4   -21.6     0.0     0                                  
1986 04 11 15 00   945.7   -20.7     0.0     0                                  
1986 04 11 18 00   946.7   -19.6     0.0     0                                  
1986 04 11 21 00   947.9   -19.7     5.5   310                                  
1986 04 12 00 00   949.0   -19.5     4.9   310                                  
1986 04 12 03 00   949.7   -19.0     5.5   310                                  
1986 04 12 06 00   950.8   -18.9     2.5   310                                  
1986 04 12 09 00   951.8   -18.5     2.9   310                                  
1986 04 12 12 00   953.3   -17.4     1.6   310                                  
1986 04 12 15 00   954.1   -15.0     0.0     0                                  
1986 04 12 18 00   955.0   -13.6     0.0     0                                  
1986 04 12 21 00   955.4   -15.4     1.0   310                                  
1986 04 13 00 00   956.4   -16.6     3.9   310                                  
1986 04 13 03 00   956.3   -15.0     4.5   312                                  
1986 04 13 06 00   956.4   -17.1     5.8   354                                  
1986 04 13 09 00   956.2   -17.7     9.8   354                                  
1986 04 13 12 00   956.0   -18.6    11.3   350                                  
1986 04 13 15 00   954.8   -17.2    12.3   341                                  
1986 04 13 18 00   954.1   -17.1    11.3   358                                  
1986 04 13 21 00   953.6   -15.5    11.7   360                                  
1986 04 14 00 00   952.6   -17.7     8.8   352                                  
1986 04 14 03 00   951.3   -18.0     6.4   360                                  
1986 04 14 06 00   950.6   -11.4     2.5   303                                  
1986 04 14 09 00   950.0   -10.5     0.0     0                                  
1986 04 14 12 00   949.9    -8.6     9.8   123                                  
1986 04 14 15 00   949.8   -13.7    10.3   146                                  
1986 04 14 18 00   949.3   -14.1    11.7   136                                  
1986 04 14 21 00   948.3   -14.2    10.3   129                                  
1986 04 15 00 00   947.7   -14.5     8.4   118                                  
1986 04 15 03 00   946.8   -13.9     7.8   126                                  
1986 04 15 06 00   946.6   -12.1     4.5   133                                  
1986 04 15 09 00   946.1   -13.6     0.0     0                                  
1986 04 15 12 00   945.6   -14.4     2.9    92                                  
1986 04 15 15 00   945.6   -14.9     4.5    11                                  
1986 04 15 18 00   945.3   -15.6     3.5   360                                  
1986 04 15 21 00   945.1   -16.9     2.5   347                                  
1986 04 16 00 00   945.2   -16.9     1.0   345                                  
1986 04 16 03 00   944.8   -15.9     0.0     0                                  
1986 04 16 06 00   944.3   -18.2     3.5    95                                  
1986 04 16 09 00   943.9   -21.0     5.5   126                                  
1986 04 16 12 00   943.7   -22.7    11.3   136                                  
1986 04 16 15 00   943.3   -23.1    13.8   140                                  
1986 04 16 18 00   942.7   -23.1    15.8   143                                  
1986 04 16 21 00   942.3   -23.5    14.8   147                                  
1986 04 17 00 00   942.7   -23.5    12.9   147                                  
1986 04 17 03 00   942.2   -23.1    14.8   153                                  
1986 04 17 06 00   942.3   -22.6    13.3   160                                  
1986 04 17 09 00   941.7   -22.6    20.7   154                                  
1986 04 17 12 00   941.9   -22.5    17.7   156                                  
1986 04 17 15 00   941.9   -22.5    22.0   160                                  
1986 04 17 18 00   941.2   -22.7    20.7   163                                  
1986 04 17 21 00   941.3   -22.9    22.0   163                                  
1986 04 18 00 00   941.1   -23.1    19.7   161                                  
1986 04 18 03 00   941.0   -23.9    13.3   168                                  
1986 04 18 06 00   940.2   -25.1    15.8   164                                  
1986 04 18 09 00   939.9   -25.1    15.2   160                                  
1986 04 18 12 00   939.8   -24.9    15.2   151                                  
1986 04 18 15 00   939.2   -24.0     9.4   178                                  
1986 04 18 18 00   938.9   -24.0     7.8   158                                  
1986 04 18 21 00   938.1   -23.7     5.5   122                                  
1986 04 19 00 00   937.7   -24.6     2.9   360                                  
1986 04 19 03 00   937.0   -23.9     5.5   360                                  
1986 04 19 06 00   936.6   -25.5     6.8   354                                  
1986 04 19 09 00   936.7   -26.1     7.8   358                                  
1986 04 19 12 00   937.1   -26.6     8.8     1                                  
1986 04 19 15 00   937.9   -25.9     7.4   358                                  
1986 04 19 18 00   938.7   -25.5     8.4   355                                  
1986 04 19 21 00   940.6   -25.0     2.0   338                                  
1986 04 20 00 00   943.2   -28.0    13.8   139                                  
1986 04 20 03 00   945.3   -27.9    18.7   144                                  
1986 04 20 06 00   946.6   -26.6     7.4   132                                  
1986 04 20 09 00   947.5   -26.4     0.0     0                                  
1986 04 20 12 00   949.1   -27.5     9.8   104                                  
