Filchner_new
Operated by Germany
latitude -77.08 longitude -51.22 height 999m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by AWI

1991 01 01 00 00 -999    -999    -999    -999                                   
1991 01 28 21 00   995.6    -8.1     5.9   175                                  
1991 01 29 00 00   995.8    -8.4     2.8   191                                  
1991 01 29 03 00   996.0    -8.4     4.9   222                                  
1991 01 29 06 00   996.1    -8.1     3.7   267                                  
1991 01 29 09 00   995.8    -7.4     2.9   227                                  
1991 01 29 12 00   995.5    -7.1     1.2   355                                  
1991 01 29 15 00   994.6    -6.3     7.8   306                                  
1991 01 29 18 00   993.6    -5.4     5.4   239                                  
1991 01 29 21 00   992.5    -5.8     6.0   313                                  
1991 01 30 00 00   991.3    -5.9     7.0   312                                  
1991 01 30 03 00   990.2    -6.8     9.8   312                                  
1991 01 30 06 00   989.1    -7.0    10.5   313                                  
1991 01 30 09 00   988.3    -7.2    10.6   312                                  
1991 01 30 12 00   988.2    -6.5    11.4   310                                  
1991 01 30 15 00   988.3    -6.8    14.3   313                                  
1991 01 30 18 00   989.0    -7.0    13.9   313                                  
1991 01 30 21 00   989.7    -7.9    13.1   312                                  
1991 01 31 00 00   990.7    -8.7     9.4   313                                  
1991 01 31 03 00   991.4    -8.4    10.5   313                                  
1991 01 31 06 00   992.4    -8.8     8.5   312                                  
1991 01 31 09 00   993.0    -8.2     9.1   312                                  
1991 01 31 12 00   993.5    -6.8     7.7   313                                  
1991 01 31 15 00   994.6    -6.7    15.8   297                                  
1991 01 31 18 00   995.3    -7.6    20.0   313                                  
1991 01 31 21 00   995.5    -7.2    15.0   312                                  
1991 02 01 00 00   994.9    -7.6    20.9   313                                  
1991 02 01 03 00   994.9    -8.1    19.6   313                                  
1991 02 01 06 00   994.3    -8.0    21.3   312                                  
1991 02 01 09 00   993.3    -7.3    21.7   312                                  
1991 02 01 12 00   992.3    -6.2    21.0   313                                  
1991 02 01 15 00   991.6    -5.5    24.8   313                                  
1991 02 01 18 00   991.8    -4.6    23.4   313                                  
1991 02 01 21 00   991.8    -4.0    17.7   313                                  
1991 02 02 00 00   991.8    -5.0    18.0   312                                  
1991 02 02 03 00   992.1    -5.7    16.3   313                                  
1991 02 02 06 00   992.5    -6.3    16.5   313                                  
1991 02 02 09 00   992.8    -6.1    14.6   313                                  
1991 02 02 12 00   993.1    -5.8    13.8   312                                  
1991 02 02 15 00   993.5    -5.2    12.6   313                                  
1991 02 02 18 00   993.9    -4.7    11.8   313                                  
1991 02 02 21 00   994.9    -4.5    10.7   313                                  
1991 02 03 00 00   996.0    -5.5     9.9   278                                  
1991 02 03 03 00   997.3    -7.2    13.0   313                                  
1991 02 03 06 00   998.9    -9.5     8.8   301                                  
1991 02 03 09 00  1000.6   -10.4    10.4   284                                  
1991 02 03 12 00  1002.1    -8.5     8.2   282                                  
1991 02 03 15 00  1003.5    -6.4    11.5   312                                  
1991 02 03 18 00  1004.7    -5.2     8.4   311                                  
1991 02 03 21 00  1006.1    -6.5     6.2   313                                  
1991 02 04 00 00  1007.1    -8.7     7.7   312                                  
1991 02 04 03 00  1008.1   -11.0     7.5   313                                  
1991 02 04 06 00  1009.0   -10.9     5.5   321                                  
1991 02 04 09 00  1009.6   -13.2     4.8    35                                  
1991 02 04 12 00  1009.2    -9.0     7.0    43                                  
1991 02 04 15 00  1008.6    -5.9     8.5    42                                  
1991 02 04 18 00  1008.1    -5.0     9.8    43                                  
1991 02 04 21 00  1008.0    -6.7     4.3    42                                  
1991 02 05 00 00  1007.5   -12.0     7.2    42                                  
1991 02 05 03 00  1007.5   -14.5     7.2   313                                  
1991 02 05 06 00  1007.4   -12.6     8.5   313                                  
1991 02 05 09 00  1007.5   -12.3     2.0   337                                  
1991 02 05 12 00  1007.5   -12.6     4.1   357                                  
1991 02 05 15 00  1007.1    -8.8     3.9    87                                  
1991 02 05 18 00  1007.1    -8.2     6.9    87                                  
1991 02 05 21 00  1007.5   -10.4     8.5    87                                  
1991 02 06 00 00  1007.7   -10.4     9.1    88                                  
1991 02 06 03 00  1007.5   -10.9     8.2    88                                  
1991 02 06 06 00  1008.2   -12.9    10.5    87                                  
1991 02 06 09 00  1008.8   -15.9     4.8    87                                  
1991 02 06 12 00  1008.7    -8.9    11.7    88                                  
1991 02 06 15 00  1009.3   -10.6    10.8    87                                  
1991 02 06 18 00  1009.6   -10.6    11.1    92                                  
1991 02 06 21 00  1009.9   -10.6    10.1   132                                  
1991 02 07 00 00  1010.7   -14.1     9.3   133                                  
1991 02 07 03 00  1010.6   -15.8     8.5   133                                  
1991 02 07 06 00  1011.4   -12.4     5.0    88                                  
1991 02 07 09 00  1012.8   -11.2     3.2   342                                  
1991 02 07 12 00  1014.5    -9.6     7.0   358                                  
1991 02 07 15 00  1015.9   -10.6     8.4   312                                  
1991 02 07 18 00  1017.1    -9.9     9.4   312                                  
1991 02 07 21 00  1018.4   -10.7     7.8   353                                  
1991 02 08 00 00  1018.8   -14.1     6.9   358                                  
1991 02 08 03 00  1019.1   -17.1     6.7   357                                  
1991 02 08 06 00  1019.0   -19.2     6.5    43                                  
1991 02 08 09 00  1018.4   -17.8     5.6    58                                  
1991 02 08 12 00  1017.6   -14.8     8.6    88                                  
1991 02 08 15 00  1015.9   -11.8    10.9    69                                  
1991 02 08 18 00  1014.4   -10.3    11.5    42                                  
1991 02 08 21 00  1013.4   -10.1     9.6    66                                  
1991 02 09 00 00  1011.8   -13.0    10.8    87                                  
1991 02 09 03 00  1010.8   -13.9    11.3    88                                  
1991 02 09 06 00  1009.5   -16.6     8.4    87                                  
1991 02 09 09 00  1008.3   -15.4     8.2    82                                  
1991 02 09 12 00  1006.5   -11.0    17.1    42                                  
1991 02 09 15 00  1005.3    -9.5    24.9    42                                  
1991 02 09 18 00  1004.8    -8.9    22.6    43                                  
1991 02 09 21 00  1004.6    -9.7    21.3    42                                  
1991 02 10 00 00  1004.5   -11.6    15.2    43                                  
1991 02 10 03 00  1004.0   -13.5    20.8    43                                  
1991 02 10 06 00  1003.4   -11.5    18.9    72                                  
1991 02 10 09 00  1002.8   -11.1    16.1    87                                  
1991 02 10 12 00  1002.0   -10.6    15.0    88                                  
1991 02 10 15 00  1001.2    -9.3    15.6    87                                  
1991 02 10 18 00  1000.8    -8.1    13.5    87                                  
1991 02 10 21 00  1000.6    -7.8    12.6    88                                  
1991 02 11 00 00  1000.2    -7.6    10.6    88                                  
1991 02 11 03 00   999.6    -8.6    13.9    87                                  
1991 02 11 06 00   999.9   -12.1     9.4   104                                  
1991 02 11 09 00  1000.0   -14.2     0.9    98                                  
1991 02 11 12 00  1000.0   -13.4     1.6    88                                  
1991 02 11 15 00  1000.0   -12.3     6.0    88                                  
1991 02 11 18 00  1000.3    -9.1     3.2    43                                  
1991 02 11 21 00  1000.9   -11.6     4.8    87                                  
1991 02 12 00 00  1001.2   -16.4     6.0    42                                  
1991 02 12 03 00  1001.8   -18.6     3.0    43                                  
1991 02 12 06 00  1002.2   -17.0     1.9    85                                  
1991 02 12 09 00  1002.6   -16.8     3.5    87                                  
1991 02 12 12 00  1002.8   -16.2     6.6    87                                  
1991 02 12 15 00  1002.8   -14.4     6.5    88                                  
1991 02 12 18 00  1003.3   -15.0    11.8    87                                  
1991 02 12 21 00  1003.5   -13.7    12.0    42                                  
1991 02 13 00 00  1003.9   -14.5    11.8    53                                  
1991 02 13 03 00  1004.2   -15.7     6.6    59                                  
1991 02 13 06 00  1004.5   -17.6     6.7    43                                  
1991 02 13 09 00  1004.3   -16.4     6.4    46                                  
1991 02 13 12 00  1003.8   -12.8     8.4    12                                  
1991 02 13 15 00  1003.4   -11.9     8.6    43                                  
1991 02 13 18 00  1002.7   -11.6     7.4    43                                  
1991 02 13 21 00  1002.0   -13.2     5.0    42                                  
1991 02 14 00 00  1001.2   -16.4     6.1   358                                  
1991 02 14 03 00  1000.8   -18.9     6.0   357                                  
1991 02 14 06 00   999.9   -16.6     6.5   313                                  
1991 02 14 09 00   999.2   -16.1     8.1   312                                  
1991 02 14 12 00   998.8   -15.0    10.3   313                                  
1991 02 14 15 00   998.6   -13.4     8.0   312                                  
1991 02 14 18 00   998.2   -12.6     4.5   357                                  
1991 02 14 21 00   997.9   -13.1     3.7    22                                  
1991 02 15 00 00   998.0   -17.8     7.2   357                                  
1991 02 15 03 00   998.3   -22.9     7.3   357                                  
1991 02 15 06 00   998.5   -24.5     6.4   357                                  
1991 02 15 09 00   998.8   -23.8     6.3   357                                  
1991 02 15 12 00   999.1   -19.1     4.7   357                                  
1991 02 15 15 00   999.0   -14.2     6.6   358                                  
1991 02 15 18 00   999.7   -13.6     7.3    42                                  
1991 02 15 21 00   999.9   -13.9     7.3    43                                  
1991 02 16 00 00  1000.4   -17.0     6.1    63                                  
1991 02 16 03 00  1001.1   -22.0     6.7    50                                  
1991 02 16 06 00  1001.5   -26.6     6.6    87                                  
1991 02 16 09 00  1001.7   -26.1     5.6    88                                  
1991 02 16 12 00  1001.7   -22.4     7.0    87                                  
1991 02 16 15 00  1001.5   -21.0     9.6    88                                  
1991 02 16 18 00  1001.7   -20.4    10.9    87                                  
1991 02 16 21 00  1001.8   -21.0     8.5    87                                  
1991 02 17 00 00  1002.0   -24.4     6.3    88                                  
1991 02 17 03 00  1002.0   -27.6     6.3    88                                  
1991 02 17 06 00  1002.2   -29.5     5.1    50                                  
