Clamp4
Operated by UK
latitude -76.81 longitude -25.50 height 1650m
Data format is: Year, Month, Day, Hour (UTC), Minute, Pressure (hPa), Temperature (Deg C), Wind Speed (knots), Wind Direction (Degrees)
Null values are displayed as -999
Data supplied by the British Antarctic Survey

1997 12 19 18 00 -999      -14.2    11.5    55                                  
1997 12 19 19 00 -999      -14.6    11.7    53                                  
1997 12 19 20 00 -999      -15.4    10.1    57                                  
1997 12 19 21 00 -999      -16.6     9.0    66                                  
1997 12 19 22 00 -999      -17.7    10.3    70                                  
1997 12 19 23 00 -999      -18.0    12.1    69                                  
1997 12 20 00 00 -999      -18.3    11.1    73                                  
1997 12 20 01 00 -999      -20.6    10.3    79                                  
1997 12 20 02 00 -999      -19.9    10.1    78                                  
1997 12 20 03 00 -999      -19.6    10.5    79                                  
1997 12 20 04 00 -999      -19.3    10.7    76                                  
1997 12 20 05 00 -999      -19.4     9.0    74                                  
1997 12 20 06 00 -999      -17.4    12.3    70                                  
1997 12 20 07 00 -999      -16.9     8.2    61                                  
1997 12 20 08 00 -999      -12.5    10.3    37                                  
1997 12 20 09 00 -999      -11.0     8.2    42                                  
1997 12 20 10 00 -999      -11.3    11.1    45                                  
1997 12 20 11 00 -999      -10.6    13.8    41                                  
1997 12 20 12 00 -999      -10.7    16.0    32                                  
1997 12 20 13 00 -999      -10.8    12.3    43                                  
1997 12 20 14 00 -999      -11.2     9.8    43                                  
1997 12 20 15 00 -999      -10.7    12.9    43                                  
1997 12 20 16 00 -999      -10.8    14.4    72                                  
1997 12 20 17 00 -999      -11.0    11.7    68                                  
1997 12 20 18 00 -999      -10.9    12.7    55                                  
1997 12 20 19 00 -999      -11.6     9.0    37                                  
1997 12 20 20 00 -999      -11.8    14.6    61                                  
1997 12 20 21 00 -999      -11.9    13.8    63                                  
1997 12 20 22 00 -999      -12.0    10.9    53                                  
1997 12 20 23 00 -999      -11.9    16.0    53                                  
1997 12 21 00 00 -999      -12.1    15.4    40                                  
1997 12 21 01 00 -999      -12.1    17.2    46                                  
1997 12 21 02 00 -999      -12.3    16.8    48                                  
1997 12 21 03 00 -999      -12.1    14.4    53                                  
1997 12 21 04 00 -999      -11.9    16.0    59                                  
1997 12 21 05 00 -999      -12.2    15.4    70                                  
1997 12 21 06 00 -999      -12.0    14.6    66                                  
1997 12 21 07 00 -999      -12.0    16.4    69                                  
1997 12 21 08 00 -999      -12.2    15.0    63                                  
1997 12 21 09 00 -999      -12.3    14.2    72                                  
1997 12 21 10 00 -999      -11.3    16.6    75                                  
1997 12 21 11 00 -999      -11.2    18.7    68                                  
1997 12 21 12 00 -999      -10.9    16.0    73                                  
1997 12 21 13 00 -999      -10.8    15.6    82                                  
1997 12 21 14 00 -999      -10.8    14.6    84                                  
1997 12 21 15 00 -999      -10.5    15.4    71                                  
1997 12 21 16 00 -999      -10.3    14.4    75                                  
1997 12 21 17 00 -999      -10.2    16.4    58                                  
1997 12 21 18 00 -999      -10.8    14.8    66                                  
1997 12 21 19 00 -999      -11.6    12.3    65                                  
1997 12 21 20 00 -999      -11.6    10.9    77                                  
1997 12 21 21 00 -999      -12.3    10.9    85                                  
1997 12 21 22 00 -999      -12.4    10.5    87                                  
1997 12 21 23 00 -999      -14.1     7.4   101                                  
1997 12 22 00 00 -999      -15.4    10.9   121                                  
1997 12 22 01 00 -999      -15.7    12.1   131                                  
1997 12 22 02 00 -999      -15.7    11.3   132                                  
1997 12 22 03 00 -999      -16.4    12.9   133                                  
1997 12 22 04 00 -999      -16.8    12.3   127                                  
1997 12 22 05 00 -999      -16.7    14.4   121                                  
1997 12 22 06 00 -999      -16.9    14.0   113                                  
1997 12 22 07 00 -999      -15.7    12.1   100                                  
1997 12 22 08 00 -999      -14.6    10.9    99                                  
1997 12 22 09 00 -999      -13.1     8.8    84                                  
1997 12 22 10 00 -999      -11.5    10.1    80                                  
1997 12 22 11 00 -999      -11.4    12.3    89                                  
1997 12 22 12 00 -999      -11.6    12.5    84                                  
1997 12 22 13 00 -999      -11.3    12.1    80                                  
1997 12 22 14 00 -999      -10.6    14.0    60                                  
1997 12 22 15 00 -999      -10.5    15.4    68                                  
1997 12 22 16 00 -999      -10.7    13.8    61                                  
1997 12 22 17 00 -999      -10.6    12.5    55                                  
1997 12 22 18 00 -999      -10.4    15.4    61                                  
1997 12 22 19 00 -999      -10.3    14.4    56                                  
1997 12 22 20 00 -999      -11.1    14.0    60                                  
1997 12 22 21 00 -999      -12.3     9.6    64                                  
1997 12 22 22 00 -999      -10.8    14.2    65                                  
1997 12 22 23 00 -999      -10.8    13.3    75                                  
1997 12 23 00 00 -999      -10.7    16.8    59                                  
1997 12 23 01 00 -999      -11.0    15.4    63                                  
1997 12 23 02 00 -999      -11.3    13.5    74                                  
1997 12 23 03 00 -999      -12.0    14.2    66                                  
1997 12 23 04 00 -999      -12.6    12.5    67                                  
1997 12 23 05 00 -999      -12.0    11.1    71                                  
1997 12 23 06 00 -999      -11.6    12.9    64                                  
1997 12 23 07 00 -999      -11.1    15.2    68                                  
1997 12 23 08 00 -999      -11.5    14.6    65                                  
1997 12 23 09 00 -999      -11.4    12.9    74                                  
1997 12 23 10 00 -999      -10.8    14.6    68                                  
1997 12 23 11 00 -999      -10.0    16.2    66                                  
1997 12 23 12 00 -999       -9.9    17.0    62                                  
1997 12 23 13 00 -999      -10.0    16.8    54                                  
1997 12 23 14 00 -999       -9.8    17.4    61                                  
1997 12 23 15 00 -999       -9.8    15.2    56                                  
1997 12 23 16 00 -999       -9.6    14.8    56                                  
1997 12 23 17 00 -999       -9.3    15.8    58                                  
1997 12 23 18 00 -999       -9.9    14.6    61                                  
1997 12 23 19 00 -999      -10.6    15.6    56                                  
1997 12 23 20 00 -999      -10.7    12.1    50                                  
1997 12 23 21 00 -999      -10.8     9.8    49                                  
1997 12 23 22 00 -999      -10.6     8.4    62                                  
1997 12 23 23 00 -999      -11.9     8.2    65                                  
1997 12 24 00 00 -999      -11.7    10.9    72                                  
1997 12 24 01 00 -999      -13.2    11.5    85                                  
1997 12 24 02 00 -999      -13.6     8.8    93                                  
1997 12 24 03 00 -999      -14.9     7.8   104                                  
1997 12 24 04 00 -999      -14.9     9.6   106                                  
1997 12 24 05 00 -999      -14.6     6.2    98                                  
1997 12 24 06 00 -999      -14.3     8.8   102                                  
1997 12 24 07 00 -999      -14.5     8.0   101                                  
1997 12 24 08 00 -999      -13.8     9.2   102                                  
1997 12 24 09 00 -999      -12.9     9.4    98                                  
1997 12 24 10 00 -999      -12.1    10.7   100                                  
1997 12 24 11 00 -999      -11.2    10.9    88                                  
1997 12 24 12 00 -999      -10.8    12.1    70                                  
1997 12 24 13 00 -999      -10.7    12.5    66                                  
1997 12 24 14 00 -999      -10.8    11.3    58                                  
1997 12 24 15 00 -999      -10.4    11.1    58                                  
1997 12 24 16 00 -999       -9.8     9.6    53                                  
1997 12 24 17 00 -999      -10.5     9.6    59                                  
1997 12 24 18 00 -999      -10.4     9.0    66                                  
1997 12 24 19 00 -999    -999       10.1    78                                  
1997 12 24 20 00 -999      -11.4     5.8    95                                  
1997 12 24 21 00 -999      -12.3     9.6    95                                  
1997 12 24 22 00 -999      -13.7     7.8   113                                  
1997 12 24 23 00 -999      -14.6     8.4   110                                  
1997 12 25 00 00 -999      -15.5     9.2   112                                  
1997 12 25 01 00 -999      -17.0     8.2   102                                  
1997 12 25 02 00 -999      -15.2    10.3   114                                  
1997 12 25 03 00 -999      -15.7     9.6   110                                  
1997 12 25 04 00 -999      -16.0     5.8   104                                  
1997 12 25 05 00 -999      -14.9     7.8   113                                  
1997 12 25 06 00 -999      -13.8     8.4   116                                  
1997 12 25 07 00 -999      -13.2     8.0   115                                  
1997 12 25 08 00 -999      -12.7    10.3   131                                  
1997 12 25 09 00 -999      -12.1     8.2   149                                  
1997 12 25 10 00 -999      -11.6     7.6   156                                  
1997 12 25 11 00 -999      -10.5     7.6   156                                  
1997 12 25 12 00 -999       -9.9     8.4   143                                  
1997 12 25 13 00 -999       -9.3     6.2   126                                  
1997 12 25 14 00 -999       -8.6     7.0   120                                  
1997 12 25 15 00 -999       -8.2     6.4   122                                  
1997 12 25 16 00 -999       -8.6     6.4   112                                  
1997 12 25 17 00 -999       -8.5     4.3   101                                  
1997 12 25 18 00 -999       -8.8     3.3    95                                  
1997 12 25 19 00 -999       -9.4     3.1    89                                  
1997 12 25 20 00 -999      -10.8     2.3    96                                  
1997 12 25 21 00 -999      -11.2     1.8    98                                  
1997 12 25 22 00 -999      -12.8     2.1    94                                  
1997 12 25 23 00 -999      -14.6     1.9    98                                  
1997 12 26 00 00 -999      -16.2     1.9    91                                  
1997 12 26 01 00 -999      -15.4     0.0    20                                  
1997 12 26 02 00 -999      -16.5     0.0    20                                  
1997 12 26 03 00 -999      -18.0     2.3    75                                  
1997 12 26 04 00 -999      -18.8     3.1    89                                  
1997 12 26 05 00 -999      -18.0     3.9    97                                  
1997 12 26 06 00 -999      -17.4     5.5    91                                  
1997 12 26 07 00 -999      -16.3     4.7    90                                  
1997 12 26 08 00 -999      -14.8     3.5    88                                  
1997 12 26 09 00 -999      -13.2     3.5    85                                  
1997 12 26 10 00 -999      -11.9     6.4    35                                  
1997 12 26 11 00 -999      -11.3     6.4    28                                  
1997 12 26 12 00 -999      -10.6     7.6    26                                  
1997 12 26 13 00 -999      -10.9     8.2    32                                  
1997 12 26 14 00 -999      -11.0     9.6    33                                  
1997 12 26 15 00 -999      -11.3     9.8    49                                  
1997 12 26 16 00 -999      -11.2    10.1    48                                  
1997 12 26 17 00 -999      -11.3     9.6    58                                  
1997 12 26 18 00 -999      -11.8     9.4    65                                  
1997 12 26 19 00 -999      -12.0     5.8    91                                  
1997 12 26 20 00 -999      -12.7     4.7    89                                  
1997 12 26 21 00 -999      -13.9     8.0   104                                  
